기준_년분기_코드,행정동_코드,행정동_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20251,11440730,성산2동,6703555,2965052,3738503,1067104,1068243,1190237,1156579,972518,1248873,948744,940056,943142,941600,942451,983732,1003830
20251,11440740,상암동,5213228,2522270,2690958,767876,827132,1039620,1064418,750615,763568,781890,797602,784567,809501,788818,639158,611695
20251,11470510,목1동,4742299,2186174,2556125,1379448,510869,545094,925631,670717,710539,665610,663269,661513,675754,694329,720575,661251
20251,11470520,목2동,6870429,3179960,3690469,1197322,910199,1182591,1088342,1010724,1481252,969543,959042,962444,957721,951221,1017871,1052588
20251,11470530,목3동,4960297,2279690,2680607,789654,609767,832210,788826,754904,1184937,702083,693127,698744,693706,695933,723245,753459
20251,11470540,목4동,5666185,2660113,3006073,1291164,702252,685355,917863,967230,1102321,805956,799578,797007,794772,796646,828745,843483
20251,11470550,목5동,4745606,2211270,2534336,1592615,398327,396184,916400,642655,799426,668456,661573,661374,668807,675700,706435,703262
20251,11470560,신월1동,3930134,1948174,1981960,541632,396970,577717,637879,625682,1150253,557630,548785,554033,548317,544170,577706,599495
20251,11470570,신월2동,3447522,1619935,1827587,733715,338575,483426,564148,495517,832143,488624,487001,492591,485303,478677,496723,518605
20251,11470580,신월3동,2694911,1361395,1333516,424753,269778,368475,423625,450888,757391,383132,383109,384208,378890,375013,387921,402637
20251,11470590,신월4동,3419661,1629680,1789983,820961,305404,421313,565073,479346,827565,487518,482991,485007,480459,484132,492829,506723
20251,11470600,신월5동,2793771,1336635,1457137,443862,333703,416189,435996,423252,740771,396288,394731,396518,396724,398063,400309,411139
20251,11470610,신월6동,1046020,502830,543188,167255,96206,158926,179585,176460,267587,147760,148091,150093,147340,145983,152591,154161
20251,11470611,신월7동,2075467,989207,1086259,324992,203353,281470,287421,343546,634684,293013,290392,293418,287938,288909,307121,314674
20251,11470620,신정1동,3167301,1483194,1684107,796414,326558,361994,572897,470576,638863,450616,445734,444857,448818,454739,464591,457946
20251,11470630,신정2동,4523320,2101347,2421974,1271679,461631,447374,800249,686143,856243,638592,632006,630800,636728,645991,669551,669653
20251,11470640,신정3동,7236774,3373583,3863191,1520015,744991,968664,1148900,1136577,1717627,1033951,1026585,1033801,1024350,1022867,1026489,1068730
20251,11470650,신정4동,11161259,5298730,5862530,2014866,1550536,1684552,1822821,1653745,2434738,1583855,1580905,1583017,1583085,1586056,1624071,1620270
20251,11470670,신정6동,1948405,873582,1074823,562259,165991,203822,371528,271851,372954,278114,275763,276331,277853,279999,280472,279871
